algo,alphabet,text_size,pattern_size,sub_cnt,avg_time,avg_oper
cooler_kmp,binary,10000,2600,3,200676,335271
cooler_kmp,binary,10000,2700,3,208633,357077
cooler_kmp,binary,10000,2800,3,208335,361910
cooler_kmp,binary,10000,2900,3,229112,404410
cooler_kmp,binary,10000,3000,3,225311,407564
cooler_kmp,binary,100000,100,3,1981572,14493
cooler_kmp,binary,100000,200,3,1753516,26268
cooler_kmp,binary,100000,300,3,1871107,41620
cooler_kmp,binary,100000,400,3,1820130,54343
cooler_kmp,binary,100000,500,3,1901577,70957
cooler_kmp,binary,100000,600,3,1858821,81943
cooler_kmp,binary,100000,700,3,1802028,94365
cooler_kmp,binary,100000,800,3,1787168,104509
cooler_kmp,binary,100000,900,3,1821960,121904
cooler_kmp,binary,100000,1000,3,1765727,131868
cooler_kmp,binary,100000,1100,3,1913006,153310
cooler_kmp,binary,100000,1200,3,1912786,166900
cooler_kmp,binary,100000,1300,3,1808568,173416
cooler_kmp,binary,100000,1400,3,1869233,192222
cooler_kmp,binary,100000,1500,3,1887412,207761
cooler_kmp,binary,100000,1600,3,1883614,220662
cooler_kmp,binary,100000,1700,3,1818851,225797
cooler_kmp,binary,100000,1800,3,1938788,253659
cooler_kmp,binary,100000,1900,3,1867743,258074
cooler_kmp,binary,100000,2000,3,1908974,277661
cooler_kmp,binary,100000,2100,3,2014449,300996
cooler_kmp,binary,100000,2200,3,1857510,293566
cooler_kmp,binary,100000,2300,3,1923126,313123
cooler_kmp,binary,100000,2400,3,1858868,318827
cooler_kmp,binary,100000,2500,3,1883789,338114
cooler_kmp,binary,100000,2600,3,1915170,354763
cooler_kmp,binary,100000,2700,3,1939801,372462
cooler_kmp,binary,100000,2800,3,1834398,368628
cooler_kmp,binary,100000,2900,3,1843103,380058
cooler_kmp,binary,100000,3000,3,1848435,394968
cooler_kmp,binary,10000,100,4,283578,25037
cooler_kmp,binary,10000,200,4,293960,51580
cooler_kmp,binary,10000,300,4,309457,81268
cooler_kmp,binary,10000,400,4,295663,102702
cooler_kmp,binary,10000,500,4,313495,133532
cooler_kmp,binary,10000,600,4,305100,155979
cooler_kmp,binary,10000,700,4,310622,182648
cooler_kmp,binary,10000,800,4,297833,197033
cooler_kmp,binary,10000,900,4,337107,245966
cooler_kmp,binary,10000,1000,4,311107,247252
cooler_kmp,binary,10000,1100,4,334164,286509
cooler_kmp,binary,10000,1200,4,359365,333082
cooler_kmp,binary,10000,1300,4,326963,322281
cooler_kmp,binary,10000,1400,4,356449,369336
cooler_kmp,binary,10000,1500,4,358974,396185
cooler_kmp,binary,10000,1600,4,337319,390475
cooler_kmp,binary,10000,1700,4,382370,460768
